Lazy Skyr (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;89.5;0.5;13.9;6.5;8.1;0.2;;;;;
Nutritional values per ½ Deluxe Tub;340;g;;304.3;1.8;47.4;22.1;27.6;0.6;;;;;
Nutritional values total;680;g;;608.7;3.6;94.7;44.1;55.3;1.1;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);30.45;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";36.32%;;;;LOW-FAT;;;Hi-Protein;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);102.4;g;;15.1%;;;;;;;;;;
ℹ️ Net carbs;57.9;g;;*∝ 5 servings@136g:* 11.6g;;;*∝ 3 servings@227g:* 19.3g;;;*energy ratio (low <20%):* 38%;;;;
;;;;;;;;;;;;;;
"“Lazily” using a container of pre-flavored skyr (flavors: vanilla / blueberry/ cherry / strawberry),
just adding a few things for freezing point depression and ice crystal inhibition.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"Spin on FroYo, scrape down, and respin or mix-in.

Rating: 😋🥛 (untested)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;https://www.youtube.com/watch?v=AUCTxxMPvWs;;;;;;;
Ingredients;Amount;Unit;#;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;Comment;0Carb[%];Counts?
Skyr “Vanilla” [Milsani / Aldi];500.00;ml;1;77.00;0.20;9.50;8.60;8.80;0.13;0.09;17.80;"500g container; vanilla / blueberry/ cherry / strawberry flavors";;1
Cottage Cheese 4% [REWE Bio];;g;1;91.00;4.00;1.00;1.00;12.70;0.69;0.01;16.00;;;1
Glycerin (E422, VG) [hd-line];15.00;g;1;400.00;;99.00;;;;3.70;;*alternative:* 53g lactose;50.00;1
Brandy or Vodka 40 vol%;15.00;g;1;280.00;;;;;;2.96;;*alternative:* 12g (additional) VG for a sober recipe;;1
Lactose [Sunlife];53.00;g;2;380.00;0.00;95.00;95.00;0.10;0.00;0.95;95.00;;;0
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];10.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;unsweetened “ICSv2”;73.80;1
Whey + Casein protein (grass-fed) [Vilgain];10.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
SweEX (Erythritol + Xylitol 3:2);22.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 29g allulose or dextrose;100.00;1
;;;;;;;;;;;;;;
Soy milk 1.6% (sugar-free) [Berief];108.00;ml;3;30.00;1.60;0.90;0.00;3.00;0.08;;4.00;;;1
Flavor drops Vanilla (sucralose) [IronMaxx];≈3;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
